index,dmo,type,name,agg_name,year
72,Slovensky raj,Tvorba a podpora produktov CR,LETNÝ BUS v Slovenskom raji,Podpora verejnej prepravnej infraštruktúry,2020
73,Slovensky raj,Infraštruktúra CR,Infraštruktúra pre cyklistov,"Budovanie, obnova a značenie cyklotrás",2020
74,Slovensky raj,Infraštruktúra CR,"Značenie, navigačný systém","Budovanie, obnova a značenie turistických trás a náučných chodníkov",2020
75,Slovensky raj,Marketing a propagácia,Letná destinačná kampaň Košického,Tvorba obsahu komunikačných nástrojov,2021
76,Slovensky raj,Marketing a propagácia,Výroba videa s tipmi na netradičné aktivity v regióne,Tvorba obsahu komunikačných nástrojov,2021
77,Slovensky raj,Marketing a propagácia,Hymna Slovenského raja,Tvorba obsahu komunikačných nástrojov,2021
78,Slovensky raj,Tvorba a podpora produktov CR,"Detský produkt/rodiny Šťastík a Šťastenka /grafický návrh, tlač",Tvorba informačných materiálov,2021
79,Slovensky raj,Podpora atraktivít danej lokality,Regionálna produktová značka – úvodný prieskum,Podpora vlastných znalostných kapacít,2021
80,Slovensky raj,Infraštruktúra CR,"Značenie, navigačný systém","Budovanie, obnova a značenie turistických trás a náučných chodníkov",2021
81,Slovensky raj,Infraštruktúra CR,Informačné tabule a smerovníky,"Budovanie, obnova a značenie turistických trás a náučných chodníkov",2021
82,Slovensky raj,Infraštruktúra CR,"Údržba turistických chodníkov/oddychových zón, bežeckých tratí","Budovanie, obnova a značenie turistických trás a náučných chodníkov",2021
83,Slovensky raj,Stratgické plánovanie,Prieskum potrebných dát informácií o stave CR,Podpora vlastných znalostných kapacít,2021
57,Slovensky raj,Marketing a propagácia,Aktualizácia a tlač a osadenie 15 ks exteriérových cykloturistických máp,Budovanie informačnej infraštruktúry,2019
